country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Africa,1950,Unknown,227776838.0,,2.014,0.009,94.868,17.544,22.69,2118.225,1173.696,124.263,9.311,6.885,0.277,0.417,0.308,0.216,68.983,0.303,71.392,4.1579999999999995,0.299,18.212,1737.904,16270.795,1634.002,0.0,1.343,55550.039,84.347,20.2635,13070.632,1.294,0.0,0.0,0.004,0.0,0.945,8.297,2047.512,9.0,268.159,1.177,217.296,0.954,23.867,0.105,0.067,1.3525,67.641,3.011,1.6,17.452,1.777,2.026,0.75,2.507,0.826,0.0,0.028,13.164,0.302,0.543,0.0,0.001,32.987,1.54,0.838,6.158,0.006,0.017,0.025,0.002,1889.79,215.192,1.518,8.701
Africa,1951,Unknown,232557383.0,,2.269,0.01,101.125,6.257,6.596,2118.808,0.583,0.028,9.122,6.581,0.277,0.435,0.314,0.216,72.749,0.313,71.392,4.1579999999999995,0.299,20.481,1839.029,18389.604,1706.751,0.0,1.347,57593.676,110.451,20.2635,13070.632,1.294,0.0,0.0,0.004,0.0,0.976,8.243,2043.638,8.799,278.674,1.198,215.995,0.929,26.104,0.112,0.067,1.3525,67.641,2.995,1.585,16.373,1.78,2.102,0.772,2.778,0.845,0.0,0.026,13.439,0.373,0.543,0.0,0.001,31.154,1.519,0.838,6.27,0.006,0.018,0.026,0.002,1916.99,227.021,1.518,8.701
Africa,1952,Unknown,237539907.0,,2.327,0.01,110.325,9.2,9.098,2123.596,4.788,0.226,8.951,6.356,0.277,0.465,0.33,0.216,79.383,0.335,71.392,4.1579999999999995,0.299,22.808,1949.354,20513.199,1786.134,0.0,1.354,59631.418,139.059,20.2635,13070.632,1.294,0.0,0.0,0.007,0.0,1.001,8.077,2037.741,8.59,285.493,1.202,210.876,0.888,28.608,0.121,0.067,1.3525,67.641,2.882,1.706,16.404,1.969,2.161,0.797,3.039,0.867,0.0,0.024,13.707,0.442,0.543,0.0,0.002,31.456,1.574,0.838,6.377,0.007,0.018,0.027,0.002,1918.504,237.88,1.518,8.701
Africa,1953,Unknown,242685413.0,,2.637,0.011,112.007,1.682,1.524,2170.807,47.211,2.223,8.957,6.269,0.277,0.462,0.323,0.216,79.053,0.326,71.392,4.1579999999999995,0.299,25.445,2061.362,22684.006,1865.187,0.0,1.369,61713.391,169.361,20.2635,13070.632,1.294,0.0,0.0,0.015,0.0,1.024,8.034,2081.975,8.59,299.73,1.235,202.893,0.836,30.302,0.125,0.067,1.3525,67.641,2.945,1.684,16.396,1.946,2.223,0.821,3.296,0.888,0.0,0.022,13.974,0.507,0.543,0.0,0.003,31.597,1.565,0.838,6.483,0.007,0.019,0.028,0.002,1949.653,248.422,1.518,8.701
Africa,1954,Unknown,248006202.0,,3.041,0.012,117.536,5.529,4.936,2241.218,70.41,3.244,9.049,6.178,0.277,0.475,0.324,0.216,81.77,0.33,71.392,4.1579999999999995,0.299,28.486,2178.898,24925.225,1946.957,0.0,1.391,63859.234,202.065,20.2635,13070.632,1.294,0.0,0.0,0.022,0.0,1.047,8.058,2145.84,8.664,311.035,1.254,193.003,0.778,32.704,0.132,0.067,1.3525,67.641,3.131,1.731,16.276,2.017,2.294,0.845,3.55,0.909,0.0,0.021,14.235,0.57,0.543,0.0,0.004,30.741,1.593,0.838,6.587,0.007,0.02,0.029,0.002,1998.498,259.658,1.518,8.701
Africa,1955,Unknown,253538227.0,,3.409,0.013,129.402,11.866,10.096,2309.473,68.255,3.045,9.121,6.159,0.277,0.511,0.345,0.216,91.675,0.362,71.392,4.1579999999999995,0.299,31.894,2308.3,27234.697,2038.632,0.0,1.413,66060.969,236.361,20.2635,13070.632,1.294,0.0,0.0,0.022,0.0,1.095,8.089,2201.732,8.696,323.066,1.274,182.161,0.718,34.297,0.135,0.067,1.3525,67.641,3.173,1.738,15.854,2.09,2.364,0.87,3.801,0.933,0.0,0.019,14.496,0.627,0.543,0.0,0.004,30.909,1.492,0.838,6.686,0.008,0.02,0.03,0.002,2050.818,277.728,1.518,8.701
Africa,1956,Unknown,259271778.0,,3.517,0.014,135.106,5.704,4.408,2376.096,66.622,2.885,9.177,6.105,0.277,0.522,0.347,0.216,95.594,0.369,71.392,4.1579999999999995,0.299,35.411,2443.406,29610.793,2134.226,0.0,1.442,68323.641,272.328,20.2635,13070.632,1.294,0.0,0.0,0.029,0.0,1.12,8.08,2262.679,8.739,336.114,1.296,171.322,0.661,35.966,0.139,0.067,1.3525,67.641,3.019,1.705,15.688,2.074,2.416,0.894,4.047,0.957,0.0,0.018,14.759,0.677,0.543,0.0,0.005,31.341,1.44,0.838,6.781,0.008,0.021,0.031,0.002,2094.962,290.411,1.518,8.701
Africa,1957,Unknown,265129071.0,,3.681,0.014,141.593,6.487,4.801,2458.255,82.159,3.458,9.285,6.083,0.277,0.535,0.35,0.216,99.299,0.375,71.392,4.1579999999999995,0.299,39.092,2585.0,32069.049,2233.525,0.0,1.464,70661.734,310.919,20.2635,13070.632,1.294,0.0,0.0,0.022,0.0,1.146,8.089,2338.088,8.831,349.288,1.317,161.443,0.609,38.591,0.146,0.067,1.3525,67.641,3.006,1.73,15.85,2.116,2.461,0.918,4.292,0.981,0.0,0.017,15.026,0.726,0.543,0.0,0.003,31.926,1.478,0.838,6.874,0.008,0.022,0.033,0.002,2144.686,303.745,1.518,8.701
Africa,1958,Unknown,271042087.0,,3.989,0.015,148.671,7.078,4.999,2553.04,94.786,3.856,9.433,6.183,0.277,0.549,0.36,0.216,103.144,0.381,71.392,4.1579999999999995,0.299,43.081,2733.67,34622.086,2336.669,0.0,1.482,73087.953,352.439,20.2635,13070.632,1.294,0.0,0.0,0.018,0.0,1.168,8.124,2426.214,8.964,361.526,1.334,153.477,0.566,41.52,0.153,0.067,1.3525,67.641,3.075,1.766,16.357,2.166,2.508,0.943,4.538,1.005,0.0,0.016,15.308,0.774,0.543,0.0,0.003,33.738,1.527,0.838,6.967,0.009,0.023,0.034,0.002,2202.028,316.457,1.518,8.701
Africa,1959,Unknown,277271966.0,,4.189,0.015,147.841,-0.83,-0.558,2649.378,96.338,3.773,9.569,6.094,0.277,0.534,0.34,0.216,101.676,0.367,71.392,4.1579999999999995,0.299,47.27,2881.512,37271.465,2438.345,0.0,1.517,75602.352,394.38,20.2635,13070.632,1.294,0.0,0.0,0.035,0.0,1.184,8.181,2514.409,9.082,381.065,1.374,148.382,0.535,41.942,0.151,0.067,1.3525,67.641,2.884,1.67,15.962,2.052,2.537,0.964,4.782,1.027,0.0,0.015,15.582,0.814,0.543,0.0,0.005,32.47,1.448,0.838,7.055,0.009,0.023,0.035,0.003,2268.459,328.26,1.518,8.701
Africa,1960,Unknown,283922289.0,,4.399,0.016,156.567,8.726,5.902,2578.319,-71.059,-2.682,9.094,5.678,0.277,0.552,0.345,0.216,103.522,0.365,71.392,4.1579999999999995,0.299,51.669,3038.079,39849.789,2541.867,0.0,1.564,78038.617,442.979,20.2635,13070.632,1.294,0.0,0.0,0.047,0.0,1.255,8.041,2436.261,8.593,407.589,1.436,147.112,0.518,48.598,0.171,0.067,1.3525,67.641,2.795,1.668,16.021,2.007,2.557,0.986,5.009,1.048,0.0,0.015,15.864,0.859,0.543,0.0,0.006,36.33,1.557,0.838,7.147,0.01,0.024,0.037,0.003,2283.131,356.25,1.518,8.701
