country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
European Union (27),1950,Unknown,328139848.0,,22.598,0.069,1277.769,66.518,5.492,1357.857,97.281,7.717,4.138,0.774,0.277,3.894,0.729,0.216,1126.705,3.434,71.392,4.1579999999999995,0.299,287.944,65645.727,89531.039,63483.352,0.0,111.676,26985.83,1762.759,20.2635,13070.632,1.294,0.0,0.0,10.108,0.031,4.738,5.978,80.088,0.244,496.787,1.514,165.999,0.506,118.359,0.361,0.067,1.3525,67.641,33.779,21.547,11.187,29.026,32.038,28.33,13.792,32.086,0.0,2.298,6.395,6.318,0.543,0.0,2.862,1.29,7.637,0.838,12.603,0.012,0.037,0.051,0.002,1961.754,1554.566,1.518,8.701
European Union (27),1951,Unknown,330569542.0,,25.494,0.077,1429.766,151.996,11.895,1495.65,137.793,10.148,4.524,0.797,0.277,4.325,0.762,0.216,1249.175,3.779,71.392,4.1579999999999995,0.299,313.438,67075.492,91026.688,64732.523,0.0,123.64,27051.715,1905.892,20.2635,13070.632,1.294,0.0,0.0,11.964,0.036,5.237,6.456,65.885,0.199,522.458,1.58,169.631,0.513,143.134,0.433,0.067,1.3525,67.641,33.648,22.405,11.557,30.573,32.163,28.172,13.749,32.056,0.0,2.344,6.312,6.435,0.543,0.0,2.875,1.004,8.33,0.838,12.57,0.013,0.037,0.052,0.002,2134.083,1731.093,1.518,8.701
European Union (27),1952,Unknown,332995707.0,,27.486,0.083,1486.817,57.052,3.99,1580.023,84.372,5.641,4.745,0.797,0.277,4.465,0.75,0.216,1286.0,3.862,71.392,4.1579999999999995,0.299,340.923,68562.312,92606.711,66018.523,0.0,137.929,27144.92,2064.934,20.2635,13070.632,1.294,0.0,0.0,14.289,0.043,5.412,6.69,93.205,0.28,536.661,1.612,174.388,0.524,159.042,0.478,0.067,1.3525,67.641,34.039,22.989,12.205,31.898,32.307,28.035,13.719,32.052,0.0,2.41,6.24,6.569,0.543,0.0,3.196,1.439,8.751,0.838,12.555,0.013,0.038,0.053,0.002,2227.64,1802.212,1.518,8.701
European Union (27),1953,Unknown,335659119.0,,31.102,0.093,1515.004,28.186,1.896,1587.986,7.964,0.504,4.731,0.758,0.277,4.514,0.723,0.216,1289.459,3.842,71.392,4.1579999999999995,0.299,372.026,70077.32,94194.695,67307.984,0.0,156.235,27217.904,2241.071,20.2635,13070.632,1.294,0.0,0.0,18.306,0.055,5.487,6.738,72.983,0.217,547.302,1.631,180.111,0.537,176.137,0.525,0.067,1.3525,67.641,34.733,22.779,11.994,31.741,32.497,27.895,13.686,32.046,0.0,2.521,6.163,6.715,0.543,0.0,3.858,1.108,9.095,0.838,12.538,0.013,0.039,0.054,0.002,2261.717,1841.803,1.518,8.701
European Union (27),1954,Unknown,338440576.0,,32.961,0.097,1611.368,96.364,6.361,1669.846,81.86,5.155,4.934,0.753,0.277,4.761,0.726,0.216,1347.237,3.981,71.392,4.1579999999999995,0.299,404.986,71688.68,95864.547,68655.219,0.0,176.792,27276.381,2451.683,20.2635,13070.632,1.294,0.0,0.0,20.558,0.061,5.786,7.03,58.478,0.173,565.91,1.672,186.639,0.551,210.612,0.622,0.067,1.3525,67.641,33.934,23.733,12.127,33.226,32.609,27.786,13.655,32.069,0.0,2.639,6.08,6.921,0.543,0.0,4.1,0.838,10.259,0.838,12.529,0.014,0.04,0.056,0.003,2379.302,1958.31,1.518,8.701
European Union (27),1955,Unknown,341203656.0,,37.097,0.109,1743.365,131.997,8.192,1795.621,125.775,7.532,5.263,0.756,0.277,5.109,0.734,0.216,1433.65,4.202,71.392,4.1579999999999995,0.299,442.083,73432.047,97660.164,70088.867,0.0,200.474,27328.637,2700.62,20.2635,13070.632,1.294,0.0,0.0,23.682,0.069,6.197,7.448,52.256,0.153,587.987,1.723,193.812,0.568,248.937,0.73,0.067,1.3525,67.641,34.529,23.42,12.327,32.679,32.762,27.663,13.628,32.081,0.0,2.767,5.997,7.159,0.543,0.0,4.328,0.734,10.831,0.838,12.525,0.014,0.04,0.057,0.003,2541.239,2114.543,1.518,8.701
European Union (27),1956,Unknown,343895758.0,,39.044,0.114,1867.092,123.727,7.097,1906.829,111.208,6.193,5.545,0.764,0.277,5.429,0.748,0.216,1511.384,4.395,71.392,4.1579999999999995,0.299,481.127,75299.141,99566.992,71600.25,0.0,227.688,27368.375,2990.07,20.2635,13070.632,1.294,0.0,0.0,27.213,0.079,6.59,7.84,39.738,0.116,613.427,1.784,201.47,0.586,289.45,0.842,0.067,1.3525,67.641,33.518,23.557,12.59,32.792,32.822,27.544,13.607,32.096,0.0,2.907,5.912,7.434,0.543,0.0,4.634,0.55,11.587,0.838,12.531,0.014,0.041,0.058,0.003,2696.142,2266.327,1.518,8.701
European Union (27),1957,Unknown,346772758.0,,40.979,0.118,1926.367,59.275,3.175,1957.384,50.555,2.651,5.645,0.744,0.277,5.555,0.732,0.216,1540.026,4.441,71.392,4.1579999999999995,0.299,522.106,77225.508,101524.383,73140.281,0.0,259.804,27399.391,3303.317,20.2635,13070.632,1.294,0.0,0.0,32.116,0.093,6.769,8.01,31.017,0.089,632.278,1.823,209.453,0.604,313.247,0.903,0.067,1.3525,67.641,33.465,23.533,12.621,32.822,32.872,27.428,13.586,32.111,0.0,3.064,5.826,7.712,0.543,0.0,4.966,0.424,11.996,0.838,12.535,0.015,0.042,0.06,0.003,2777.779,2347.335,1.518,8.701
European Union (27),1958,Unknown,349930207.0,,42.868,0.123,1910.887,-15.481,-0.804,1918.822,-38.562,-1.97,5.483,0.703,0.277,5.461,0.7,0.216,1483.034,4.238,71.392,4.1579999999999995,0.299,564.974,79136.391,103443.203,74623.312,0.0,295.967,27407.328,3652.138,20.2635,13070.632,1.294,0.0,0.0,36.164,0.103,6.689,7.915,7.935,0.023,638.244,1.824,217.6,0.622,348.822,0.997,0.067,1.3525,67.641,33.053,22.702,12.293,31.144,32.885,27.291,13.56,32.091,0.0,3.222,5.74,8.018,0.543,0.0,5.124,0.11,12.831,0.838,12.535,0.015,0.043,0.061,0.003,2769.698,2340.764,1.518,8.701
European Union (27),1959,Unknown,352992941.0,,48.189,0.137,1940.61,29.723,1.555,1899.9,-18.922,-0.986,5.382,0.663,0.277,5.498,0.678,0.216,1466.752,4.155,71.392,4.1579999999999995,0.299,613.163,81077.0,105343.102,76090.062,0.0,338.876,27366.617,4034.898,20.2635,13070.632,1.294,0.0,0.0,42.909,0.122,6.759,7.938,-40.71,-0.115,650.786,1.844,225.751,0.64,382.759,1.084,0.067,1.3525,67.641,33.178,21.916,11.446,29.607,32.908,27.131,13.515,32.039,0.0,3.408,5.64,8.328,0.543,0.0,5.659,-0.526,13.212,0.838,12.519,0.016,0.044,0.062,0.003,2802.177,2385.81,1.518,8.701
