country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
High-income countries,1950,Unknown,692078530.0,27438614528.0,56.745,0.071,5117.058,482.226,10.404,6504.703,788.027,13.785,8.128,1.136,0.277,6.394,0.894,0.216,3434.038,4.291,71.392,4.1579999999999995,0.299,798.703,216397.719,474657.312,187576.656,43.122,4693.779,270233.219,23155.699,129.756,13070.632,1.294,43.122,0.054,342.192,0.428,8.962,12.4,1400.304,1.75,1702.479,2.46,494.522,0.715,1235.973,1.544,0.006,4.988,67.641,84.822,86.287,53.593,88.467,88.868,93.39,73.122,94.806,58.57,96.588,64.037,82.994,0.543,58.57,96.897,22.56,79.746,0.838,61.489,0.051,0.191,0.25,0.008,8581.771,6202.39,1.518,8.701
High-income countries,1951,Unknown,699973521.0,27438614528.0,63.685,0.079,5466.807,349.749,6.835,6953.402,448.699,6.898,8.588,1.137,0.277,6.752,0.894,0.216,3590.776,4.435,71.392,4.1579999999999995,0.299,862.388,221864.547,481610.719,191167.453,85.822,5096.022,271738.062,24517.604,135.257,13070.632,1.294,42.7,0.053,402.243,0.497,9.443,12.91,1504.856,1.859,1766.937,2.524,504.84,0.721,1361.902,1.682,0.007,5.501,67.641,84.055,85.667,53.731,87.883,88.494,93.183,72.743,94.666,55.91,96.593,63.408,82.777,0.543,53.459,96.651,22.941,79.262,0.838,61.248,0.052,0.194,0.254,0.009,9036.549,6609.958,1.518,8.701
High-income countries,1952,Unknown,708049916.0,27438614528.0,67.527,0.082,5477.358,10.551,0.193,7013.546,60.144,0.865,8.561,1.095,0.277,6.686,0.855,0.216,3492.574,4.263,71.392,4.1579999999999995,0.299,929.914,227341.891,488624.25,194660.0,131.622,5527.555,273289.406,25952.174,140.612,13070.632,1.294,45.8,0.056,431.533,0.527,9.384,12.801,1551.353,1.894,1795.829,2.536,517.89,0.731,1434.57,1.751,0.007,5.355,67.641,83.628,84.691,54.177,86.631,88.122,92.958,72.386,94.509,55.103,96.587,62.821,82.555,0.543,53.653,96.522,23.948,78.938,0.838,61.017,0.053,0.197,0.259,0.009,9063.999,6644.558,1.518,8.701
High-income countries,1953,Unknown,716619694.0,27438614528.0,74.374,0.09,5626.197,148.839,2.717,7274.209,260.663,3.717,8.771,1.08,0.277,6.784,0.835,0.216,3511.26,4.234,71.392,4.1579999999999995,0.299,1004.288,232968.094,495898.5,198171.281,176.616,5984.899,274953.844,27483.943,147.067,13070.632,1.294,44.994,0.054,457.344,0.551,9.538,13.021,1664.432,2.007,1840.585,2.568,533.274,0.744,1531.771,1.847,0.008,6.455,67.641,83.057,84.593,54.941,86.433,87.726,92.737,72.051,94.353,55.156,96.571,62.26,82.355,0.543,55.31,96.38,25.26,79.095,0.838,60.795,0.055,0.2,0.264,0.009,9331.39,6834.862,1.518,8.701
High-income countries,1954,Unknown,725421137.0,27438614528.0,79.487,0.095,5677.856,51.659,0.918,7434.109,159.901,2.198,8.852,1.07,0.277,6.761,0.818,0.216,3451.451,4.11,71.392,4.1579999999999995,0.299,1083.776,238645.953,503332.594,201622.734,215.623,6467.362,276734.5,29103.67,152.788,13070.632,1.294,39.007,0.046,482.463,0.574,9.554,13.124,1780.678,2.12,1886.96,2.601,550.594,0.759,1619.726,1.929,0.007,5.721,67.641,81.833,83.627,53.988,85.12,87.265,92.497,71.697,94.178,54.201,96.546,61.688,82.154,0.543,50.259,96.233,25.509,78.899,0.838,60.555,0.056,0.203,0.268,0.009,9520.589,6930.895,1.518,8.701
High-income countries,1955,Unknown,734350520.0,27438614528.0,87.949,0.103,6163.038,485.182,8.545,7981.493,547.383,7.363,9.384,1.076,0.277,7.246,0.831,0.216,3710.042,4.362,71.392,4.1579999999999995,0.299,1171.725,244808.984,511314.094,205332.781,259.495,6991.681,278575.906,30893.559,159.756,13070.632,1.294,43.873,0.052,524.318,0.616,10.226,13.812,1841.387,2.165,1981.077,2.698,569.452,0.775,1789.888,2.104,0.008,6.968,67.641,81.862,82.793,54.791,84.568,86.835,92.225,71.353,93.985,52.459,96.491,61.128,81.894,0.543,45.306,95.813,25.85,77.877,0.838,60.32,0.057,0.207,0.274,0.01,10142.997,7509.194,1.518,8.701
High-income countries,1956,Unknown,743307506.0,27438614528.0,94.3,0.109,6528.384,365.346,5.928,8414.522,433.03,5.425,9.77,1.092,0.277,7.58,0.847,0.216,3881.683,4.507,71.392,4.1579999999999995,0.299,1266.024,251337.375,519728.594,209214.453,309.553,7551.818,280489.875,32828.723,166.798,13070.632,1.294,50.058,0.058,560.137,0.65,10.684,14.319,1913.967,2.222,2048.637,2.756,589.449,0.793,1935.165,2.247,0.008,7.042,67.641,80.952,82.367,55.558,84.221,86.367,91.939,71.026,93.783,51.35,96.408,60.588,81.619,0.543,46.275,95.386,26.511,77.464,0.838,60.095,0.059,0.21,0.279,0.01,10643.438,7941.839,1.518,8.701
High-income countries,1957,Unknown,752493085.0,27438614528.0,97.537,0.112,6641.646,113.262,1.735,8554.749,140.227,1.666,9.807,1.069,0.277,7.614,0.83,0.216,3891.35,4.461,71.392,4.1579999999999995,0.299,1363.561,257979.016,528283.375,213105.797,357.716,8163.439,282426.312,34814.875,173.619,13070.632,1.294,48.163,0.055,611.621,0.701,10.786,14.388,1936.443,2.22,2109.541,2.803,610.189,0.811,1986.153,2.277,0.008,6.822,67.641,79.653,81.138,55.159,82.934,85.85,91.625,70.697,93.56,50.438,96.268,60.057,81.28,0.543,45.272,94.58,26.441,76.062,0.838,59.862,0.061,0.214,0.285,0.01,10826.907,8116.166,1.518,8.701
High-income countries,1958,Unknown,762008123.0,27438614528.0,101.578,0.115,6572.121,-69.525,-1.047,8319.123,-235.626,-2.754,9.413,1.02,0.277,7.437,0.806,0.216,3673.97,4.157,71.392,4.1579999999999995,0.299,1465.14,264551.125,536602.5,216779.766,396.734,8824.687,284196.312,36905.02,179.781,13070.632,1.294,39.018,0.044,661.247,0.748,10.621,13.984,1769.974,2.003,2155.835,2.829,631.274,0.828,2090.146,2.365,0.007,6.161,67.641,78.322,78.08,53.299,77.155,85.281,91.232,70.341,93.224,49.325,96.07,59.523,81.017,0.543,41.022,93.684,24.613,76.884,0.838,59.615,0.062,0.217,0.29,0.01,10656.213,8093.215,1.518,8.701
High-income countries,1959,Unknown,771670473.0,27438614528.0,113.269,0.127,6745.509,173.388,2.638,8887.653,568.53,6.834,9.928,1.028,0.277,7.535,0.78,0.216,3661.488,4.09,71.392,4.1579999999999995,0.299,1578.409,271296.656,545490.125,220441.266,431.759,9529.784,286365.688,39127.363,188.069,13070.632,1.294,35.024,0.039,705.098,0.788,10.776,14.494,2169.383,2.423,2204.601,2.857,652.304,0.845,2222.342,2.483,0.009,8.289,67.641,77.985,76.18,53.545,73.907,84.713,90.786,69.983,92.821,48.186,95.835,59.02,80.76,0.543,38.197,92.992,28.015,76.71,0.838,59.336,0.064,0.221,0.296,0.011,11184.907,8315.446,1.518,8.701
